,Hospital Name,ID,types,Ratings,Address
0,Clara Swain Mission Hospital,ChIJ3TJaadIAoDkRYJj2khnEtEU,"['hospital', 'health', 'point_of_interest', 'establishment']",3.7,"mission hospital campus, 99, Civil Lines, Bareilly"
1,Deepmala Hospital,ChIJAVIiMzMHoDkR72Mj5gfdWj8,"['hospital', 'health', 'point_of_interest', 'establishment']",3.7,"NH 74, Choupla Chouraha, Beharipur, Bareilly"
2,Ajay Pratima Hospital-Best Laparoscopic Surgeon Gynecologist Obstetrician Doctors Multispeciality Hospital,ChIJTaL3ntgGoDkRtPdtai8K3NE,"['hospital', 'health', 'point_of_interest', 'establishment']",3.5,"Dharam Kanta 57, near Prem Nagar, Brijlok Colony, Bareilly"
3,Shri Ganga Charan Aryawardhan Hospital,ChIJHZ9VjSkBoDkRD3FDKrDVn-A,"['hospital', 'health', 'point_of_interest', 'establishment']",4.3,"National Highway 24 Opposite Gandhi Udhyan, A-2, Rampur Garden, Bareilly"
4,SRMS Goodlife,ChIJEZuJu-cGoDkRbaZ6qZP35oU,"['hospital', 'health', 'point_of_interest', 'establishment']",3.5,"101/2, 101/3, Brahampura East, Stadium Rd, Bareilly"
5,Bareilly City Hospital,ChIJo683JtcGoDkRRdFsCuwMfFw,"['hospital', 'health', 'point_of_interest', 'establishment']",3.8,"Thana Baradari, Near, Stadium Rd, Bareilly"
6,Dhanwantri Tomar Hospital,ChIJW5rVhh8BoDkR3Ujzox6DnKQ,"['hospital', 'health', 'point_of_interest', 'establishment']",3.7,"35-A-2/II, Rampur Garden, Bareilly"
7,Mahendra-Gayatri Hospital,ChIJUVZEdRcHoDkRpSVS9Ki2Fn0,"['hospital', 'health', 'point_of_interest', 'establishment']",3.3,"Near-Kudesia Fatak, Nainital Bypass Road, Bareilly"
8,Om Shaanti Hospital - Best Hospital And Best ENT Doctor in Bareilly,ChIJd1iHASsHoDkRaKWBAt5OzIw,"['hospital', 'health', 'point_of_interest', 'establishment']",4.7,"41, Bareilly College Road, Kali Bari Rd, Civil Lines, Bareilly"
9,Mahajan Hospital,ChIJifw4gecGoDkRltN_9Io1Kx0,"['hospital', 'health', 'point_of_interest', 'establishment']",3.6,"Stadium Road, Infront Of Telephone Tower, Bareilly, BSNL Colony, Bareilly"
10,District Hospital,ChIJeRGfXC4HoDkRVwU4c_MA8Vs,"['hospital', 'health', 'point_of_interest', 'establishment']",3.5,"Civil Lines, Bareilly"
11,Holy Hospital,ChIJD8NfgyoBoDkRHKRpkuYqzmg,"['hospital', 'health', 'point_of_interest', 'establishment']",3.1,"F-11 Opp Lane To Vikas Bhawan Rampur Bagh, Bareilly"
12,Gopal Dutt Hospital,ChIJM1ZghioBoDkRxoPK4zBflJU,"['hospital', 'health', 'point_of_interest', 'establishment']",4.4,"35-E, P C Azad Rd, Rampur Garden, Bareilly"
13,Sai Hospital Dialysis and Transplant Centre,ChIJoz8jj90GoDkRokjasYfQewI,"['hospital', 'health', 'point_of_interest', 'establishment']",3.9,"Stadium Rd, FCI Colony, Bareilly"
14,Suvidha Hospital,ChIJNWFuvCEHoDkRDcONBiZ8pog,"['hospital', 'health', 'point_of_interest', 'establishment']",3.5,"Sood Dharam Kanta, Prem Nagar, Bareilly"
15,Narayana Hospital,ChIJI58MWRkBoDkR2Vm2tnzXhEY,"['hospital', 'health', 'point_of_interest', 'establishment']",4.7,"Opposite to Jeevan Jyoti Hospital, Hydel Colony (Rampur Garden), Rampur Garden, Bareilly"
16,Jeevan Dhara Hospital,ChIJMcUQHxkHoDkRiE_HAudJMgU,"['hospital', 'health', 'point_of_interest', 'establishment']",4.4,"Nainital Rd, opp. M.B. Inter College, Shrinathpuram, Bareilly"
17,Aaliya Hospital,ChIJM9jDCUkHoDkRqnUQHsu_JEM,"['hospital', 'health', 'point_of_interest', 'establishment']",5.0,"City Station Road, Bareilly"
18,Rajya Rani Hospital,ChIJBcRSztYAoDkRtN1k2ERMeE0,"['hospital', 'health', 'point_of_interest', 'establishment']",2.9,"Civil Lines, Bareilly"
19,Gurunanak Hospital,ChIJbWbnRuAGoDkRDsl_8MZAmTY,"['hospital', 'health', 'point_of_interest', 'establishment']",4.1,"A-24 ,Priyadarshani Nagar, janakpuri, Bareilly"
